ShipDetections,geometry,Detected_x,Detected_y,Detected_lat,Detected_lon,Detected_width,Detected_length
target_000,POINT (41.73758736314584 10.770265189638966),14683,1334,41.73758736314584,10.770265189638966,30.0,30.0
target_001,POINT (41.70682006466475 10.818594551924596),15221,1676,41.70682006466475,10.818594551924596,50.0,40.0
target_002,POINT (41.72851437877624 10.887719913037593),15990,1435,41.72851437877624,10.887719913037593,160.0,190.0
target_003,POINT (41.71580321750594 10.89054960618257),16022,1576,41.71580321750594,10.89054960618257,150.0,180.0
target_004,POINT (41.70165475178106 10.884351230722146),15953,1734,41.70165475178106,10.884351230722146,50.0,50.0
target_005,POINT (41.67389680950177 10.60915234343213),12889,2043,41.67389680950177,10.60915234343213,40.0,30.0
target_006,POINT (41.66684503452143 10.711919611935404),14033,2121,41.66684503452143,10.711919611935404,40.0,40.0
target_007,POINT (41.68454184561858 10.754769250987904),14510,1924,41.68454184561858,10.754769250987904,40.0,40.0
target_008,POINT (41.65786188168023 10.813294491748293),15162,2221,41.65786188168023,10.813294491748293,70.0,80.0
target_009,POINT (41.64955246530213 10.850394912982429),15575,2314,41.64955246530213,10.850394912982429,30.0,30.0
target_010,POINT (41.69644452313317 10.8591984027668),15673,1792,41.69644452313317,10.8591984027668,90.0,110.0
target_011,POINT (41.67996043766958 10.874155352247389),15839,1975,41.67996043766958,10.874155352247389,60.0,60.0
target_012,POINT (41.668911159674906 10.91174984688779),16258,2098,41.668911159674906,10.91174984688779,70.0,100.0
target_013,POINT (41.61487749533512 10.69489653730134),13844,2700,41.61487749533512,10.69489653730134,50.0,50.0
target_014,POINT (41.60549010061607 10.69866946149464),13886,2804,41.60549010061607,10.69866946149464,190.0,200.0
target_015,POINT (41.64860923425381 10.725708751546636),14187,2324,41.64860923425381,10.725708751546636,50.0,40.0
target_016,POINT (41.63023868669356 10.715467957307675),14073,2529,41.63023868669356,10.715467957307675,70.0,70.0
target_017,POINT (41.61968348210516 10.728179118577966),14214,2646,41.61968348210516,10.728179118577966,80.0,100.0
target_018,POINT (41.606657910485424 10.715917114949736),14078,2791,41.606657910485424,10.715917114949736,70.0,80.0
target_019,POINT (41.63113700197768 10.805838474890098),15079,2519,41.63113700197768,10.805838474890098,50.0,50.0
target_020,POINT (41.64425240512583 10.832114196950595),15371,2373,41.64425240512583,10.832114196950595,80.0,90.0
target_021,POINT (41.6342811054721 10.920777915493192),16358,2484,41.6342811054721,10.920777915493192,100.0,110.0
target_022,POINT (41.62682508861391 10.92212538841937),16373,2567,41.62682508861391,10.92212538841937,280.0,270.0
target_023,POINT (41.55805905361456 9.645574453921324),2163,3332,41.55805905361456,9.645574453921324,110.0,260.0
target_024,POINT (41.55805905361456 9.645574453921324),2163,3332,41.55805905361456,9.645574453921324,110.0,260.0
target_025,POINT (41.54224870461405 9.508716120385715),639,3508,41.54224870461405,9.508716120385715,80.0,80.0
target_026,POINT (41.39209530487348 10.917723643527186),16324,5180,41.39209530487348,10.917723643527186,40.0,30.0
