ShipDetections,geometry,Detected_x,Detected_y,Detected_lat,Detected_lon,Detected_width,Detected_length
target_000,POINT (43.18129397233952 9.877836400894754),1125,384,43.18129397233952,9.877836400894754,150.0,150.0
target_001,POINT (43.043986481161845 9.847697923112545),789,1912,43.043986481161845,9.847697923112545,80.0,60.0
target_002,POINT (43.066893520906895 10.178727105310587),4474,1657,43.066893520906895,10.178727105310587,260.0,220.0
target_003,POINT (43.022337082814566 9.832606226339337),621,2153,43.022337082814566,9.832606226339337,80.0,60.0
target_004,POINT (43.02745747993405 9.837502044637787),676,2096,43.02745747993405,9.837502044637787,30.0,40.0
target_005,POINT (43.022337082814566 9.832606226339337),621,2153,43.022337082814566,9.832606226339337,80.0,60.0
target_006,POINT (43.03257787705353 10.006295486523843),2555,2039,43.03257787705353,10.006295486523843,170.0,260.0
target_007,POINT (43.09977186030567 10.536526082975394),8457,1291,43.09977186030567,10.536526082975394,60.0,80.0
target_008,POINT (43.09864896620052 10.536526082975394),8457,1304,43.09864896620052,10.536526082975394,60.0,130.0
target_009,POINT (43.06886981453196 10.53342689524518),8423,1635,43.06886981453196,10.53342689524518,10.0,60.0
target_010,POINT (42.97764589742962 10.361219855279469),6506,2651,42.97764589742962,10.361219855279469,270.0,210.0
target_011,POINT (42.93955732938295 10.559747533069883),8716,3075,42.93955732938295,10.559747533069883,190.0,230.0
target_012,POINT (42.93223605981738 10.557636492152202),8692,3156,42.93223605981738,10.557636492152202,80.0,60.0
target_013,POINT (42.93196656523215 10.556603429575464),8681,3159,42.93196656523215,10.556603429575464,110.0,80.0
target_014,POINT (42.93120299724064 10.505713868730094),8114,3168,42.93120299724064,10.505713868730094,20.0,30.0
target_015,POINT (42.93079875536279 10.505803700258506),8115,3172,42.93079875536279,10.505803700258506,60.0,40.0
target_016,POINT (42.92999027160708 10.514158032400816),8208,3181,42.92999027160708,10.514158032400816,40.0,20.0
target_017,POINT (42.917728267978845 10.562711973507476),8749,3318,42.917728267978845,10.562711973507476,30.0,30.0
target_018,POINT (42.92087237147327 10.526105625679609),8341,3283,42.92087237147327,10.526105625679609,40.0,10.0
target_019,POINT (42.92078253994485 10.531405685855912),8400,3284,42.92078253994485,10.531405685855912,60.0,30.0
target_020,POINT (42.92015371924597 10.525656468037546),8336,3291,42.92015371924597,10.525656468037546,60.0,70.0
